game_title,platforms,release_date,developer,publisher,genre,source_url,stats_url,crit_score,total_crit_reviews,crit_pos,crit_mix,crit_neg,user_score_mc,total_user_reviews,user_pos,user_mix,user_neg,total_user_ratings,user_05,user_10,user_15,user_20,user_25,user_30,user_35,user_40,user_45,user_50,total_diff_votes,diff_simple,diff_easy,diff_justright,diff_tough,diff_unforgiving,total_playtime_votes,0_hour,1_hour,2_hours,4_hours,8_hours,12_hours,20_hours,40_hours,60_hours,over_80_hours,total_ownership_votes,own_played,own_owned,own_own,total_completion_votes,comp_triedit,comp_playedit,comp_halfway,comp_beatit,comp_conqueredit
The House in Fata Morgana - Dreams of the Revenants Edition -,PlayStation 4|Nintendo Switch,2021-04-09,HuneX,Limited Run Games,Visual Novel,https://www.metacritic.com/game/the-house-in-fata-morgana-dreams-of-the-revenants/,https://gamefaqs.gamespot.com/pc/893672-the-house-in-fata-morgana/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,96,10,10,0,0,7.0,671,456,37,178,65,2,0,1,0,2,3,5,8,15,29,49,26,12,9,1,1,40,1,0,0,0,0,1,11,23,3,1,107,22,2,83,58,1,5,3,17,32
Elden Ring,Xbox One|PC|PlayStation 4|Xbox Series X|PlayStation 5,2022-02-25,From Software,Bandai Namco Games,Action RPG,https://www.metacritic.com/game/elden-ring/,https://gamefaqs.gamespot.com/ps5/323053-elden-ring/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,96,86,86,0,0,8.4,21878,17746,1417,2715,811,26,4,4,4,8,24,43,81,233,384,622,11,8,67,365,171,570,6,2,0,0,5,6,3,15,39,494,919,224,9,686,583,18,67,66,159,273
The Elder Scrolls V: Skyrim,Xbox 360|PlayStation 3|PC,2011-11-11,Bethesda Game Studios,Bethesda Softworks,Western RPG,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim/,https://gamefaqs.gamespot.com/xbox360/615803-the-elder-scrolls-v-skyrim/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,96,89,89,0,0,8.6,7370,6246,681,443,11095,227,32,28,68,111,287,602,1473,3652,4613,8462,192,1021,6099,1082,68,5669,14,7,8,24,32,75,160,350,449,4550,14199,3165,531,10503,9679,211,1394,1723,3456,2895
Half-Life,PC|Dreamcast|PlayStation 2,1998-11-19,Valve Software,Sierra Entertainment,FPS,https://www.metacritic.com/game/half-life/,https://gamefaqs.gamespot.com/pc/43362-half-life/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,96,24,24,0,0,8.9,5774,5078,522,174,2739,9,4,9,25,51,151,347,655,769,719,1931,5,85,1317,502,22,1425,0,4,9,21,137,378,665,126,32,53,4735,1048,127,3560,2939,231,306,265,1246,891
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,2023-05-12,Nintendo,Nintendo,Open-World Action,https://www.metacritic.com/game/the-legend-of-zelda-tears-of-the-kingdom/,https://gamefaqs.gamespot.com/switch/266202-the-legend-of-zelda-tears-of-the-kingdom/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,96,150,145,5,0,8.8,14006,11826,1084,1096,1074,36,12,6,10,19,37,45,139,313,457,938,20,44,650,198,26,838,9,4,7,5,2,8,11,19,62,711,1502,171,14,1317,922,32,127,156,409,198
The Legend of Zelda: The Wind Waker,GameCube,2003-03-24,Nintendo,Nintendo,Open-World Action,https://www.metacritic.com/game/the-legend-of-zelda-the-wind-waker/,https://gamefaqs.gamespot.com/gamecube/469050-the-legend-of-zelda-the-wind-waker/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,96,80,80,0,0,9.0,2025,1831,134,60,8175,38,12,14,29,79,225,580,1685,2917,2596,4464,63,683,3280,421,17,3207,6,5,5,11,45,155,567,1552,496,365,12973,2117,781,10075,8888,584,992,639,3607,3066
Gran Turismo,PlayStation,1998-05-12,Polyphony Digital,SCEA,Auto Racing Sim,https://www.metacritic.com/game/gran-turismo/,https://gamefaqs.gamespot.com/ps/197468-gran-turismo/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,96,16,16,0,0,8.5,645,542,68,35,1134,29,2,2,8,25,91,184,352,236,205,742,3,19,409,274,37,419,4,3,2,9,11,25,52,95,92,126,2266,507,220,1539,1252,147,369,151,340,245
Metal Gear Solid 2: Sons of Liberty,PlayStation 2,2001-11-12,KCEJ,Konami,Action Adventure,https://www.metacritic.com/game/metal-gear-solid-2-sons-of-liberty/,https://gamefaqs.gamespot.com/ps2/913941-metal-gear-solid-2-sons-of-liberty/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,96,42,42,0,0,8.9,2438,2183,165,90,3654,25,2,15,25,42,106,391,925,1141,982,2073,5,73,1454,510,31,1658,2,1,5,32,132,372,699,285,51,79,6359,1152,477,4730,3928,254,221,90,2058,1305
Grand Theft Auto Double Pack,Xbox|PlayStation 2,2003-11-04,Rockstar Vienna,Rockstar Games,Compilation,https://www.metacritic.com/game/grand-theft-auto-double-pack/,https://gamefaqs.gamespot.com/xbox/468550-grand-theft-auto-double-pack/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,96,33,33,0,0,7.8,127,91,20,16,275,2,1,0,1,1,12,25,84,80,69,122,2,1,79,38,2,71,1,0,0,0,0,3,9,20,12,26,635,52,46,537,315,29,72,28,109,77
Portal: Companion Collection,Nintendo Switch,2022-06-28,Valve Software,Valve Software,Compilation,https://www.metacritic.com/game/portal-companion-collection/,https://gamefaqs.gamespot.com/switch/357197-portal-companion-collection/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,10,10,0,0,8.6,214,190,13,11,56,3,0,0,0,0,0,1,19,18,15,45,0,1,31,11,2,34,1,0,1,1,2,5,17,5,1,1,111,2,3,106,53,2,8,12,24,7
